"account_id","account_name","region","industry","tier","mrr_usd","health_score","health_tier","nps_score","open_tickets","last_contact_days","renewal_date"
"ACC0001","Customer 1 Corp","AMER","manufacturing","silver","22836","0.55","critical","-69","11","11","2026-09-17"
"ACC0002","Customer 2 Corp","LATAM","manufacturing","gold","19172","0.9","healthy","12","7","60","2026-11-03"
"ACC0003","Customer 3 Corp","APAC","tech","silver","30161","0.76","healthy","-31","11","69","2026-04-12"
"ACC0004","Customer 4 Corp","APAC","healthcare","gold","15923","0.6","healthy","19","5","79","2026-07-16"
"ACC0005","Customer 5 Corp","LATAM","education","gold","33653","0.82","at_risk","23","1","61","2026-11-29"
"ACC0006","Customer 6 Corp","AMER","manufacturing","bronze","1704","0.76","critical","84","13","58","2026-03-06"
"ACC0007","Customer 7 Corp","EMEA","healthcare","gold","8675","0.31","healthy","18","8","74","2026-08-09"
"ACC0008","Customer 8 Corp","LATAM","education","silver","38125","0.43","healthy","79","6","84","2026-07-26"
"ACC0009","Customer 9 Corp","APAC","manufacturing","gold","37275","0.57","healthy","-90","13","20","2026-05-04"
"ACC0010","Customer 10 Corp","EMEA","finance","gold","47875","0.74","at_risk","-75","2","33","2026-12-11"
"ACC0011","Customer 11 Corp","LATAM","healthcare","platinum","10890","0.08","critical","62","2","29","2026-10-10"
"ACC0012","Customer 12 Corp","APAC","manufacturing","bronze","3237","0.46","at_risk","-34","9","37","2026-03-05"
"ACC0013","Customer 13 Corp","AMER","retail","bronze","8898","0.3","at_risk","-74","1","74","2026-12-13"
"ACC0014","Customer 14 Corp","EMEA","tech","gold","41481","0.17","critical","-4","1","11","2026-08-31"
"ACC0015","Customer 15 Corp","AMER","manufacturing","bronze","32760","0.12","healthy","-37","4","36","2026-08-11"
"ACC0016","Customer 16 Corp","EMEA","tech","silver","44837","0.8","critical","95","1","66","2026-11-25"
"ACC0017","Customer 17 Corp","APAC","manufacturing","gold","37763","0.89","at_risk","-89","7","46","2026-08-27"
"ACC0018","Customer 18 Corp","LATAM","healthcare","gold","41816","0.18","critical","56","3","57","2026-06-08"
"ACC0019","Customer 19 Corp","APAC","finance","bronze","23194","0.47","healthy","22","14","82","2026-02-26"
"ACC0020","Customer 20 Corp","APAC","healthcare","platinum","37477","0.01","at_risk","0","10","74","2026-03-23"
"ACC0021","Customer 21 Corp","EMEA","manufacturing","bronze","47663","0.51","healthy","-26","8","40","2026-03-02"
"ACC0022","Customer 22 Corp","LATAM","retail","bronze","36466","0.85","at_risk","6","10","38","2026-10-23"
"ACC0023","Customer 23 Corp","EMEA","education","platinum","32465","0.14","critical","91","9","38","2026-04-17"
